tidy_tweet,Sentiment
RT   Students who attended a for profit college accused of fraud will have nearly      million in debt wiped away  But many w ,Negative
Another BIG WIN    https   t co DMfLiGgijT,Positive
RT   No cuts to public education       https   t co VnNAOk c W,Negative
No cuts to public education       https   t co VnNAOk c W,Negative
When it comes to the Public Service Loan Forgiveness program  the requirements can be tricky   https   t co wCjJjDCXUh,Positive
The #GreatRecession created a #studentdebt nightmare for #millennials    https   t co z e RdEOdY,Positive
  and several other senators demanded the Department of Education  take immediate steps to aid an  https   t co Dks lr lxU,Negative
RT   A new year has begun and on the horizon are DeVos       plans to change higher education rules in favor of private com ,Positive
RT    So far  roughly     of processed applications for forgiveness under a government program aimed at helping public servan ,Positive
RT   A new year and a new fight against another #studentloan company that thinks it s above the law  Alongside   we ,Negative
 So far  roughly     of processed applications for forgiveness under a government program aimed at helping public s  https   t co ZZgxzMQlZJ,Positive
RT   YEAR IN REVIEW  In November  we released the nationwide report #BuriedinDebt exposing the day to day impact of #studentl ,Negative
YEAR IN REVIEW  In November  we released the nationwide report #BuriedinDebt exposing the day to day impact of  https   t co R itGXSZX ,Negative
RT   YEAR IN REVIEW  In October  supporters from all    states shared their #StudentDebtStory ahead of the #midterm #election ,Positive
YEAR IN REVIEW  In October  supporters from all    states shared their #StudentDebtStory ahead of the #midterm  https   t co E YDYiCHkC,Positive
RT   YEAR IN REVIEW  In September  we sent another letter to  accusing  of  permitting abusive and low qua ,Negative
YEAR IN REVIEW  In September  we sent another letter to  accusing  of  permitting abusive and lo  https   t co  OqI b fHA,Negative
RT   YEAR IN REVIEW  In August  we joined    allies to protect access to #studentdebt relief through #BorrowerDefense claims  ,Positive
RT   YEAR IN REVIEW  In July  we urged lawmakers to #InvestigateDeVos for illegally delaying #studentloan forgiveness  #civil ,Positive
YEAR IN REVIEW  In August  we joined    allies to protect access to #studentdebt relief through #BorrowerDefense cl  https   t co EVElGn aHn,Positive
RT   YEAR IN REVIEW  On April   th  we recognized # TDay on the sixth anniversary of student debt topping    trillion  Our te ,Negative
YEAR IN REVIEW  On April   th  we recognized # TDay on the sixth anniversary of student debt topping    trillion  O  https   t co ISuSUqn wa,Negative
RT   YEAR IN REVIEW  In March  we traveled coast to coast fighting on behalf of people hurt by #studentdebt and predatory loa ,Negative
YEAR IN REVIEW  In March  we traveled coast to coast fighting on behalf of people hurt by #studentdebt and predator  https   t co cmujRClALi,Negative
RT   YEAR IN REVIEW  In March  we fought to save Public Service Loan Forgiveness  We ensured that crucial  often underpaid  # ,Positive
YEAR IN REVIEW  In March  we fought to save Public Service Loan Forgiveness  We ensured that crucial  often underpa  https   t co dhMNU  OwU,Positive
RT      and  planned to eliminate loan forgiveness for teachers  nurses  and other publ ,Positive
RT   YEAR IN REVIEW  In February  the #TrumpBudget threatened to eliminate Public Service Loan Forgiveness  replace federal r ,Negative
YEAR IN REVIEW  In February  the #TrumpBudget threatened to eliminate Public Service Loan Forgiveness  replace fede  https   t co  bb rMLDJw,Negative
There are many more of these #studentdebt relief scammers that we must take down    https   t co gBISZLCPYA,Positive
The #Trump administration trying to block Public Service Loan Forgiveness as much as possible  Don t be discouraged  https   t co  Y kjLVM P,Negative
#Studentloan servicers are some of the most complained about companies in America    https   t co HLesTVj c ,Negative
The government is breaking a promise it made to Americans who dedicate    years to public service   https   t co inq wQX gc,Positive
 It s so stressful to think about the fact that you re probably going to have to work until you drop dead at work b  https   t co Ghmnf Z TP,Negative
Think your the only one with #studentloans   This map from  shows how #studentdebt hurts our commun  https   t co k v d axAO,Negative
RT   Federal data released this week shows that        people applied for Public Service Loan Forgiveness   only     received ,Positive
Federal data released this week shows that        people applied for Public Service Loan Forgiveness   only     rec  https   t co Mxo YHloFJ,Positive
Some cosmetology programs scam students out of tens of thousands of dollars    https   t co YAoZTMXmD ,Negative
 It s a national security issue at this point  and that s highly concerning to us    https   t co gLvCweKGdV,Positive
#Studentloan default rates reported by the Department of Education  may underestimate the severity of what  https   t co  lYsxt  de,Negative
#TuesdayThoughs for millions of Americans with student debt  https   t co FkXhxeW GK,Negative
RT    We must curb the massive #studentloan debt that plagues our nation and detrimentally affects the ability of otherwise s ,Negative
RT   Watch out for #studentloan scams  This month  the CEO of  and two other  student loan relief  companies w ,Negative
 We must curb the massive #studentloan debt that plagues our nation and detrimentally affects the ability of otherw  https   t co VrbQYqfkkq,Negative
RT     Like many issues plaguing our nation  #studentdebt is making #inequality worse  Solving the # ,Positive
RT   Ask for the gift you really need this holiday  Less #studentdebt   Use our tool to share the message with your loved ones t ,Positive
The state of Wyoming has                in total student loan debt  Help us spread awareness  Retweet #StudentDebtFacts  ,Positive
U S  Department of Education  accepted barely    of the tens of thousands of applications for #studentloan  https   t co boCdaT  Em,Positive
The state of Wisconsin has                 in total student loan debt  Help us spread awareness  Retweet #StudentDebtFacts  ,Positive
This entire administration has a bad relationship with the law    https   t co  DWZS xa H,Negative
The state of West Virginia has                in total student loan debt  Help us spread awareness  Retweet #StudentDebtFacts  ,Positive
 For more than a decade  dedicated public servants have paid a heavy price for abuse and mismanagement by the stude  https   t co DgTL hRCT ,Negative
BEWARE  People with federal #studentloans should never have to pay for basic help   https   t co INK kUhH U,Positive
The system is broken  blocking thousands from #studentloan forgiveness programs   https   t co   bXqZlZnv,Negative
Another legal victory against    https   t co  ErkmSS QF,Positive
RT    It is true that #studentloan borrowers cannot save for retirement  However  many more cannot afford rent  health care  ,Positive
A court order forced Betsy DeVos to follow the law  Now  the former students of shutdown # profit colleges will fin  https   t co  t  qKRnlk,Negative
The state of Washington has                 in total student loan debt  Help us spread awareness  Retweet #StudentDebtFacts  ,Positive
 It is true that #studentloan borrowers cannot save for retirement  However  many more cannot afford rent  health c  https   t co WP Lrgf  i,Positive
 The effects of this rising cost of #tuition do not result in a less educated or less capable #workforce  but inste  https   t co uaNBuAjhKZ,Positive
RT    Given the current state of our #studentloans  and the cost of living in southern #California  we can only hope to becom ,Positive
 Given the current state of our #studentloans  and the cost of living in southern #California  we can only hope to  https   t co SwP VpVgYx,Positive
RT   From the borrower in this story who had her loans forgiven   I feel really grateful  but I also feel a little bit outrag ,Positive
Trillions of dollars of debt nationwide    https   t co o IVqLjmh ,Negative
Samantha   a  team member   writes about her family s struggle with #studentdebt and #homeownership    https   t co uzJx ZOSDR,Negative
This is BAD for the #economy   https   t co ygNWwoPymw,Negative
Last year was difficult for #students and #families   https   t co kY lv ve A,Negative
   states     governors    call to create a #StudentLoan Borrower #BillofRights to protect people   https   t co ANu e lBWe,Positive
A great ally to #studentloan borrowers in #Wisconsin is moving on   s  says some of th  https   t co SqYOAMag d,Positive
IMPORTANT INFORMATION   https   t co GrUU VWKKG,Positive
 Putting the stories of real people hurt by student debt is our number one mission  Please  share your  https   t co Qwf o   o ,Negative
RT     People impacted by #studentdebt are often held back by other obstacles  lower wages  healthcare  ,Negative
RT    Now that we know that #studentdebt is a top priority for American voters  what steps can we take to make sure ,Positive
RT   Thank you  and  for hosting this vital discussion  Lowering the cost of #college and ending the #stud ,Positive
Thank you  and  for hosting this vital discussion  Lowering the cost of #college and ending the  https   t co GM S cnnR ,Positive
 Now that we know that #studentdebt is a top priority for American voters  what steps can we take to make  https   t co  DRdFyQR a,Positive
#StudentDebt can feel both crushing   and endless  Just ask these #millennials   https   t co b CfGISOTg,Negative
People between the ages of    and    now owe MORE money in #studentdebt debt than do younger #college graduates   https   t co  OCxz de y,Negative
REPORT  #Studentdebt prevents homeownership    https   t co eBVNHabFXf,Positive
Harmed by the shutdown  Contact your loan servicer and the U S  Department of Education     https   t co RWmudpAyg ,Negative
When #students are drowning in #studentdebt  they can t afford to bring their talents back home to #rural America   https   t co qvQfVHDWaG,Positive
  wants to kick banks charging ridiculous fees off of #college campuses  https   t co LWTeq   mP,Negative
#Studentdebt is creating a #housing crisis       https   t co BWwTazXpRe,Negative
#Women carry two thirds of America s #studentdebt burden  Enough is enough    https   t co ZPFlulWk  ,Negative
Without accurate information #students are vulnerable to scams by predatory # profit schools  Read our letter to U   https   t co lR ePFutmu,Negative
RT    Without critical protections in place  students could wind up wasting their precious GI Bill dollars and Pell Grants  ,Negative
This administration wants to destroy decades of #GIBill safeguards that protect #veterans from predatory #education  https   t co UwpE RXXHj,Positive
Hundreds of thousands of dreams crushed by #studentdebt    https   t co ygNWwoxXuY,Negative
RT   We joined allies to send an urgent message to #Congress      https   t co k bjgrScAx,Positive
We joined allies to send an urgent message to #Congress      https   t co k bjgrScAx,Positive
No surprise here     https   t co CuzZgPvNT ,Negative
Your letter to #Congress will demand #studentdebt forgiveness  expanded #consumer protections  and debt free  https   t co aS aTgBFTP,Positive
  End this crisis NOW    https   t co NZyyn    k,Negative
Let s get to work #Congress      Americans have spoken  they want #Congress to eliminate #studentdebt    https   t co gsn opXlz ,Positive
This is a broken system  We intend on fixing it    https   t co Cs Azrbrcm,Negative
Going to #college should help people achieve the #AmericanDream  Not crush it    https   t co uzJx ZOSDR,Positive
Another legal win for victims of predatory for profit schools          https   t co SCSYjBZyJk,Positive
RT      Don t forget to protect people with #studentdebt  too  Here s our letter urging you ,Positive
   Don t forget to protect people with #studentdebt  too  Here s our letter urgin  https   t co GSme YEPwf,Positive
RT      Thank you   for making it clear that investing in #education and #college ,Positive
   Thank you   for making it clear that investing in #education and  https   t co eljI AntkA,Positive
RT   YES      asks   why  doesn t pay for millions of people to go to #college instead ,Positive
YES      asks   why  doesn t pay for millions of people to go to #college in  https   t co Vf UG NY h,Positive
RT   You can expect to see thousands of students voicing their support for free community #college     https   t co u fmfszJe ,Positive
You can expect to see thousands of students voicing their support for free community #college     https   t co  fCfn ANu ,Positive
RT   We urged every #governor in America to protect you     https   t co ANu e lBWe,Positive
We urged every #governor in America to protect you     https   t co ANu e lBWe,Positive
Congress made a promise    Americans who provide over a decade of public service will have their #studentloans forg  https   t co   zN ZLnEr,Positive
Here s a common sense solution   boosted enrollment of low income #students by offering them affordable  https   t co DB pinW yg,Positive
 Dear Member of #Congress  We urge you to support a strong Higher Education Act that minimizes waste  fraud  and ab  https   t co csTIIAkDbg,Positive
  Thanks for keeping us posted   Our work is driven by real #studentloan borrowers  li  https   t co  XHDE AxAO,Positive
RT    had to make multiple email and phone inquires to  to get a basic interest accrual summary  I m pro ,Positive
 Don t stop paying your loans   #Shutdown  https   t co GrUU VWKKG,Negative
   We agree   action must be taken to end the #studentdebtcrisis  That is why we  https   t co L Y rE tRt,Positive
RT    High school is free  Community college should be  too   #Chicago mayor  writes in    https   t  ,Positive
RT   Send a letter urging #Congress to forgive #studentdebt and make #college free for the future   https   t co zFI cw zQ ,Positive
RT   Forgive my flood about student debt today   I just did my counseling for a graduate program   After bills and student l ,Negative
 High school is free  Community college should be  too   #Chicago mayor  writes in    https   t co YHpYBsc aS,Positive
RT   Our team joins  and other allies to discuss policy solutions in #California   https   t co FMjR f tEx,Positive
Our team joins  and other allies to discuss policy solutions in #California   https   t co FMjR f tEx,Positive
Send a letter urging #Congress to forgive #studentdebt and make #college free for the future   https   t co zFI cw zQ ,Positive
Changes to the disclosure information for profit colleges have to transparently share  would leave prospective stud  https   t co rCzffxOoHw,Positive
  are serious about #studentdebt and how the cost of #college exacerbates racial #inequality  We will be  https   t co U iMlkoIEF,Negative
RT    The #shutdown has been really  really stressful for me  I ve recently finished college  and I m trying to enroll in an ,Negative
 The #shutdown has been really  really stressful for me  I ve recently finished college  and I m trying to enroll i  https   t co  njyQsEVlG,Negative
RT   The state of NY just settled with a student loan company advocates had long criticized for mistreating borrowers  https  ,Negative
Today   becomes governor of #California and he already has BIG PLANS for free community #college  https   t co  LGdHdaTdp,Positive
Fed up with #studentdebt  So are we  Tell #Congress to forgive #studentdebt and make #college free for future gener  https   t co BVOSktI HL,Positive
NEWS  The government shutdown has blocked access to federal #studentloans for some needing financial aid to attend  https   t co WFMITQu  L,Negative
#California Governor  will propose a full two years of free community #college in his first budget next  https   t co fEbQdGiDMs,Positive
RT   Hey    Supporter Ashley  is waiting to hear back from you  Are you ready to end the #studentdebtcrisis  http ,Positive
Hey    Supporter Ashley  is waiting to hear back from you  Are you ready to end the #studentdebtcrisis  https   t co IHjztglFu ,Positive
RT   Agreed  no idea why focus from lawmakers isn t on debt forgiveness but rather debt free University  Both are important  but o ,Positive
RT    Yes   The solution is #studentdebt forgiveness for borrowers crushed by unfair loans   #debtfree #college to ,Positive
RT   A new #Congress is in power  Will you send a letter demanding #studentdebt forgiveness and #debtfree #college now   http ,Positive
A new #Congress is in power  Will you send a letter demanding #studentdebt forgiveness and #debtfree #college now   https   t co PammdWRHbv,Positive
#Students should never have to pay for fraudulent #education companies   https   t co tCDJbGjSQ ,Negative
Attorneys general across America are standing up for people harmed by  #studentloan companies     https   t co tze uf Pkb,Negative
RT   Students who attended a for profit college accused of fraud will have nearly      million in debt wiped away  But many w ,Negative
Another BIG WIN    https   t co DMfLiGgijT,Positive
RT   No cuts to public education       https   t co VnNAOk c W,Negative
No cuts to public education       https   t co VnNAOk c W,Negative
When it comes to the Public Service Loan Forgiveness program  the requirements can be tricky   https   t co wCjJjDCXUh,Positive
The #GreatRecession created a #studentdebt nightmare for #millennials    https   t co z e RdEOdY,Positive
  and several other senators demanded the Department of Education  take immediate steps to aid an  https   t co Dks lr lxU,Negative
RT   A new year has begun and on the horizon are DeVos       plans to change higher education rules in favor of private com ,Positive
RT    So far  roughly     of processed applications for forgiveness under a government program aimed at helping public servan ,Positive
RT   A new year and a new fight against another #studentloan company that thinks it s above the law  Alongside   we ,Negative
 So far  roughly     of processed applications for forgiveness under a government program aimed at helping public s  https   t co ZZgxzMQlZJ,Positive
RT   YEAR IN REVIEW  In November  we released the nationwide report #BuriedinDebt exposing the day to day impact of #studentl ,Negative
YEAR IN REVIEW  In November  we released the nationwide report #BuriedinDebt exposing the day to day impact of  https   t co R itGXSZX ,Negative
RT   YEAR IN REVIEW  In October  supporters from all    states shared their #StudentDebtStory ahead of the #midterm #election ,Positive
YEAR IN REVIEW  In October  supporters from all    states shared their #StudentDebtStory ahead of the #midterm  https   t co E YDYiCHkC,Positive
RT   YEAR IN REVIEW  In September  we sent another letter to  accusing  of  permitting abusive and low qua ,Negative
YEAR IN REVIEW  In September  we sent another letter to  accusing  of  permitting abusive and lo  https   t co  OqI b fHA,Negative
RT   YEAR IN REVIEW  In August  we joined    allies to protect access to #studentdebt relief through #BorrowerDefense claims  ,Positive
RT   YEAR IN REVIEW  In July  we urged lawmakers to #InvestigateDeVos for illegally delaying #studentloan forgiveness  #civil ,Positive
YEAR IN REVIEW  In August  we joined    allies to protect access to #studentdebt relief through #BorrowerDefense cl  https   t co EVElGn aHn,Positive
RT   YEAR IN REVIEW  On April   th  we recognized # TDay on the sixth anniversary of student debt topping    trillion  Our te ,Negative
YEAR IN REVIEW  On April   th  we recognized # TDay on the sixth anniversary of student debt topping    trillion  O  https   t co ISuSUqn wa,Negative
RT   YEAR IN REVIEW  In March  we traveled coast to coast fighting on behalf of people hurt by #studentdebt and predatory loa ,Negative
YEAR IN REVIEW  In March  we traveled coast to coast fighting on behalf of people hurt by #studentdebt and predator  https   t co cmujRClALi,Negative
RT   YEAR IN REVIEW  In March  we fought to save Public Service Loan Forgiveness  We ensured that crucial  often underpaid  # ,Positive
YEAR IN REVIEW  In March  we fought to save Public Service Loan Forgiveness  We ensured that crucial  often underpa  https   t co dhMNU  OwU,Positive
RT      and  planned to eliminate loan forgiveness for teachers  nurses  and other publ ,Positive
RT   YEAR IN REVIEW  In February  the #TrumpBudget threatened to eliminate Public Service Loan Forgiveness  replace federal r ,Negative
YEAR IN REVIEW  In February  the #TrumpBudget threatened to eliminate Public Service Loan Forgiveness  replace fede  https   t co  bb rMLDJw,Negative
There are many more of these #studentdebt relief scammers that we must take down    https   t co gBISZLCPYA,Positive
The #Trump administration trying to block Public Service Loan Forgiveness as much as possible  Don t be discouraged  https   t co  Y kjLVM P,Negative
#Studentloan servicers are some of the most complained about companies in America    https   t co HLesTVj c ,Negative
The government is breaking a promise it made to Americans who dedicate    years to public service   https   t co inq wQX gc,Positive
 It s so stressful to think about the fact that you re probably going to have to work until you drop dead at work b  https   t co Ghmnf Z TP,Negative
Think your the only one with #studentloans   This map from  shows how #studentdebt hurts our commun  https   t co k v d axAO,Negative
RT   Federal data released this week shows that        people applied for Public Service Loan Forgiveness   only     received ,Positive
Federal data released this week shows that        people applied for Public Service Loan Forgiveness   only     rec  https   t co Mxo YHloFJ,Positive
Some cosmetology programs scam students out of tens of thousands of dollars    https   t co YAoZTMXmD ,Negative
 It s a national security issue at this point  and that s highly concerning to us    https   t co gLvCweKGdV,Positive
#Studentloan default rates reported by the Department of Education  may underestimate the severity of what  https   t co  lYsxt  de,Negative
#TuesdayThoughs for millions of Americans with student debt  https   t co FkXhxeW GK,Negative
RT    We must curb the massive #studentloan debt that plagues our nation and detrimentally affects the ability of otherwise s ,Negative
RT   Watch out for #studentloan scams  This month  the CEO of  and two other  student loan relief  companies w ,Negative
 We must curb the massive #studentloan debt that plagues our nation and detrimentally affects the ability of otherw  https   t co VrbQYqfkkq,Negative
RT     Like many issues plaguing our nation  #studentdebt is making #inequality worse  Solving the # ,Positive
RT   Ask for the gift you really need this holiday  Less #studentdebt   Use our tool to share the message with your loved ones t ,Positive
The state of Wyoming has                in total student loan debt  Help us spread awareness  Retweet #StudentDebtFacts  ,Positive
U S  Department of Education  accepted barely    of the tens of thousands of applications for #studentloan  https   t co boCdaT  Em,Positive
The state of Wisconsin has                 in total student loan debt  Help us spread awareness  Retweet #StudentDebtFacts  ,Positive
This entire administration has a bad relationship with the law    https   t co  DWZS xa H,Negative
The state of West Virginia has                in total student loan debt  Help us spread awareness  Retweet #StudentDebtFacts  ,Positive
 For more than a decade  dedicated public servants have paid a heavy price for abuse and mismanagement by the stude  https   t co DgTL hRCT ,Negative
BEWARE  People with federal #studentloans should never have to pay for basic help   https   t co INK kUhH U,Positive
The system is broken  blocking thousands from #studentloan forgiveness programs   https   t co   bXqZlZnv,Negative
Another legal victory against    https   t co  ErkmSS QF,Positive
RT    It is true that #studentloan borrowers cannot save for retirement  However  many more cannot afford rent  health care  ,Positive
A court order forced Betsy DeVos to follow the law  Now  the former students of shutdown # profit colleges will fin  https   t co  t  qKRnlk,Negative
The state of Washington has                 in total student loan debt  Help us spread awareness  Retweet #StudentDebtFacts  ,Positive
 It is true that #studentloan borrowers cannot save for retirement  However  many more cannot afford rent  health c  https   t co WP Lrgf  i,Positive
 The effects of this rising cost of #tuition do not result in a less educated or less capable #workforce  but inste  https   t co uaNBuAjhKZ,Positive
RT    Given the current state of our #studentloans  and the cost of living in southern #California  we can only hope to becom ,Positive
 Given the current state of our #studentloans  and the cost of living in southern #California  we can only hope to  https   t co SwP VpVgYx,Positive
RT   From the borrower in this story who had her loans forgiven   I feel really grateful  but I also feel a little bit outrag ,Positive
Trillions of dollars of debt nationwide    https   t co o IVqLjmh ,Negative
The #studentdebtcrisis is fundamentally changing the  American Dream    https   t co AOcthheJoV,Positive
The system is broken  so student loan borrowers are going to court     https   t co  qnBX Mwt ,Negative
The state of Vermont has                in total student loan debt  Help us spread awareness  Retweet #StudentDebtFacts  ,Positive
#StudentDebt kills the #AmericanDream   https   t co Z  FMlXe k,Negative
RT   Women currently hold two thirds of the country s      trillion student loan debt  h t    https ,Negative
Another lawsuit against #studentloan giant        https   t co QYNgqBtP S,Negative
Women currently hold two thirds of the country s      trillion student loan debt  h t    https   t co ZPFlulWk  ,Negative
State leaders have the power to protect our rights  We let them know it       https   t co YRNAAmmP f,Positive
The state of Utah has                in total student loan debt  Retweet #StudentDebtFacts  ,Negative
#Teachers whose grant applications had errors were saddled with tens of thousands of dollars in #studentloans inste  https   t co RmBkaYeUUA,Positive
The state of Texas has                 in total student loan debt  Help us spread awareness  Retweet #StudentDebtFacts  ,Positive
ICYMI  A court order forced #Education Secretary  to automatically cancel the #studentloans of thousan  https   t co Yn FNAh Wb,Negative
 #Studentloan forgiveness might seem out of reach for many of the    million people who have educational debt  But  https   t co D L dznhW ,Positive
A streamlined #studentloan repayment system would help borrowers stay on track   scrapped the plan    https   t co tBIz ZXTux,Positive
We CANNOT allow disabled #veterans to be crushed by #studentdebt   https   t co  iUgLfI ZH,Negative
The state of Tennessee has                 in total student loan debt  Help us spread awareness  Retweet #StudentDebtFacts  ,Positive
 Borrowers in #California deserve robust consumer protections     We are working in states across the country to en  https   t co CPJqbUV QO,Positive
A BIG WIN against Betsy DeVos    https   t co hnP N MlgL,Positive
The state of South Dakota has                in total student loan debt  Help us spread awareness  Retweet #StudentDebtFacts  ,Positive
RT   LAST CALL  Join our #StudentLoan repayment #workshop for borrowers in #Florida  Starts LIVE at      pm ET         am PT  ,Positive
LAST CALL  Join our #StudentLoan repayment #workshop for borrowers in #Florida  Starts LIVE at      pm ET         a  https   t co DNoLLwHKiG,Positive
Skip tax breaks for   forgive #studentdebt instead  Sounds like a great idea     https   t co Tr fe mTcg,Positive
The state of South Carolina has                 in total student loan debt  Help us spread awareness  Retweet #StudentDebtFacts  ,Positive
Tomorrow Morning  Join our #StudentLoan Repayment #Workshop for borrowers in #Florida    Save a spot here   https   t co AADAsB  lD,Positive
